year,month,campaign,cpc,impressions_per_day,ctr,cvr,roi,daily_sales,cpa,rpa,monthly_profit
1950,1,A,0.06,15085495.05,0.0189,0.0089,1.01,867.47,4.87,10.36,218815.19
1950,1,B,0.11,2714856.39,0.022,0.0313,1.51,1035.25,3.19,8.16,104589.49
1950,1,C,0.16,4560706.38,0.0202,0.0147,0.81,748.85,9.9,8.15,150386.76
1950,1,D,0.11,2974051.17,0.0298,0.0168,0.51,1458.67,4.23,8.82,129658.25
1950,2,A,0.07,13047498.89,0.0289,0.0103,1.02,870.81,2.67,9.33,264056.67
1950,2,B,0.12,3733180.53,0.032,0.0315,1.52,1410.47,1.71,5.89,56814.43
1950,2,C,0.17,5437955.76,0.0302,0.0147,0.82,418.29,5.22,5.81,96800.35
1950,2,D,0.12,2277997.5,0.0398,0.0168,0.52,1064.18,2.54,6.02,170694.92
1950,3,A,0.08,15101441.19,0.0389,0.0152,1.03,870.03,2.26,6.07,202719.67
1950,3,B,0.13,2721571.97,0.042,0.0443,1.53,1862.47,1.61,4.56,42980.2
1950,3,C,0.18,7283068.08,0.0402,0.0167,0.83,238.43,6.72,7.2,88161.96
1950,3,D,0.13,1321744.16,0.0498,0.012,0.53,854.93,2.28,3.1,130072.31
1950,4,A,0.1,20008913.09,0.0503,0.0192,1.04,438.34,2.68,7.04,266374.09
1950,4,B,0.14,4068097.86,0.052,0.0613,1.542,1504.33,0.9,5.03,29418.58
1950,4,C,0.19,8487960.35,0.0502,0.015,0.84,119.58,7.05,5.6,57705.44
1950,4,D,0.14,928344.0,0.0598,0.0078,0.54,858.9,1.73,3.52,100588.27
1950,5,A,0.11,14088756.82,0.0603,0.0251,1.05,319.53,2.36,8.83,299263.73
1950,5,B,0.15,5147372.26,0.0671,0.0412,1.552,1534.31,0.84,4.32,30212.29
1950,5,C,0.21,5901943.46,0.0602,0.0135,0.85,142.32,8.58,3.85,45275.92
1950,5,D,0.15,1093168.3,0.0698,0.0096,0.55,1125.32,1.43,3.94,83736.07
1950,6,A,0.13,13510312.27,0.0735,0.0202,1.06,342.99,2.69,7.76,407868.62
1950,6,B,0.17,3449768.47,0.0771,0.0309,1.562,924.95,0.53,2.82,23708.0
1950,6,C,0.22,6339704.85,0.0702,0.0164,0.86,110.31,5.23,4.15,35860.31
1950,6,D,0.16,1391600.37,0.086,0.0109,0.56,709.03,1.45,3.32,116489.06
1950,7,A,0.14,12114981.51,0.1001,0.013,1.07,296.62,2.64,9.53,447095.62
1950,7,B,0.18,3805602.6,0.1096,0.0403,1.572,816.33,0.63,1.94,15104.97
1950,7,C,0.23,3181491.95,0.0802,0.0083,0.87,128.61,3.36,3.59,43900.1
1950,7,D,0.17,1009029.83,0.096,0.0075,0.581,997.22,1.15,2.25,148937.26
1950,8,A,0.18,10171529.25,0.114,0.0088,1.08,361.56,2.71,9.99,325033.08
1950,8,B,0.22,4797263.03,0.1196,0.0215,1.582,743.43,0.8,2.41,12949.63
1950,8,C,0.25,2274721.83,0.1175,0.0098,0.884,72.43,2.61,2.42,55510.44
1950,8,D,0.18,1051108.23,0.106,0.0101,0.591,706.15,1.04,2.06,101594.43
1950,9,A,0.23,13085141.62,0.124,0.0114,1.09,399.47,1.73,10.71,361300.67
1950,9,B,0.25,6633121.78,0.1296,0.0184,1.592,956.3,1.02,2.94,8829.79
1950,9,C,0.28,1834929.39,0.1275,0.0052,0.894,47.32,3.19,2.56,63141.14
1950,9,D,0.19,1355500.51,0.116,0.0145,0.601,424.14,0.55,1.35,96113.5
1950,10,A,0.24,19317068.98,0.167,0.0058,1.108,508.39,2.13,5.5,284152.01
1950,10,B,0.26,5948441.95,0.1396,0.0199,1.602,760.94,0.94,1.7,11837.26
1950,10,C,0.29,967552.92,0.1375,0.0063,0.904,69.29,3.39,3.3,46724.8
1950,10,D,0.2,1216275.6,0.1274,0.0202,0.611,397.8,0.66,0.73,72052.86
1950,11,A,0.25,26197167.61,0.2228,0.0081,1.139,690.69,1.93,4.95,277933.97
1950,11,B,0.27,6085198.57,0.1496,0.0288,1.612,821.63,0.99,1.13,12385.83
1950,11,C,0.31,1377081.7,0.1475,0.005,0.93,74.51,2.09,2.06,39056.26
1950,11,D,0.23,1772439.13,0.144,0.0261,0.621,526.39,0.67,0.48,96156.47
1950,12,A,0.36,26791615.1,0.2541,0.0101,1.149,954.52,1.49,4.18,194615.89
1950,12,B,0.28,3496156.53,0.2057,0.0261,1.622,562.67,0.88,0.98,16347.33
1950,12,C,0.34,1322266.09,0.1803,0.0028,0.947,91.88,2.7,2.09,43213.58
1950,12,D,0.24,1727790.37,0.154,0.0148,0.632,411.86,0.44,0.46,120750.38
1951,1,A,0.06,6541260.33,0.0189,0.0072,1.01,876.94,5.14,8.46,146633.22
1951,1,B,0.11,4024147.96,0.022,0.0367,1.51,1201.23,4.6,12.08,179952.01
1951,1,C,0.16,5028861.33,0.0202,0.0152,0.81,1337.44,7.79,13.98,199516.72
1951,1,D,0.11,5533796.04,0.0298,0.0141,0.51,1124.61,9.43,14.33,151632.98
1951,2,A,0.07,8903586.89,0.0289,0.0097,1.02,815.1,5.82,10.54,212197.88
1951,2,B,0.12,2296395.42,0.032,0.0363,1.52,1283.89,2.6,14.52,197750.21
1951,2,C,0.17,7336247.73,0.0302,0.0117,0.82,1637.93,5.51,15.55,206227.19
1951,2,D,0.12,6188723.82,0.0398,0.0086,0.52,1243.37,6.67,14.09,227109.55
1951,3,A,0.08,9489188.48,0.0389,0.0134,1.03,926.39,5.22,6.6,175610.3
1951,3,B,0.13,3259636.83,0.042,0.0315,1.53,918.15,2.3,7.66,191176.91
1951,3,C,0.18,5673836.54,0.0402,0.0068,0.83,1063.66,6.72,9.16,191766.61
1951,3,D,0.13,8125010.25,0.0498,0.0103,0.53,873.75,6.35,16.98,331727.88
1951,4,A,0.09,5978894.69,0.0489,0.0173,1.04,1277.2,3.75,8.29,155510.12
1951,4,B,0.14,4134925.95,0.052,0.0433,1.54,1345.46,1.55,4.78,260293.52
1951,4,C,0.19,6360533.58,0.0502,0.004,0.84,683.41,4.5,10.99,276830.7
1951,4,D,0.14,9176445.25,0.0598,0.0115,0.54,575.24,6.27,13.27,480741.78
1951,5,A,0.1,8898147.54,0.0589,0.0128,1.05,825.83,3.81,8.92,172196.72
1951,5,B,0.15,2628316.15,0.0707,0.0447,1.55,1380.47,0.91,4.22,331764.0
1951,5,C,0.2,9195386.84,0.0693,0.0053,0.85,516.08,5.34,11.87,207631.09
1951,5,D,0.15,6922757.45,0.0698,0.0061,0.55,493.47,4.93,9.64,573999.53
1951,6,A,0.11,6526139.63,0.0817,0.0065,1.06,568.94,4.48,10.29,238528.91
1951,6,B,0.16,3632492.01,0.0807,0.0665,1.56,1943.71,0.69,2.94,435963.54
1951,6,C,0.21,6877907.14,0.0869,0.004,0.861,706.4,3.55,8.82,135400.15
1951,6,D,0.16,4971582.44,0.0798,0.0039,0.56,310.13,3.99,8.93,555496.57
1951,7,A,0.12,9762320.95,0.0917,0.0077,1.07,439.04,4.58,6.08,140389.13
1951,7,B,0.2,3965558.68,0.1202,0.0535,1.57,1681.8,0.82,1.7,500494.81
1951,7,C,0.24,9717596.87,0.1185,0.0042,0.871,549.2,2.42,8.52,201612.68
1951,7,D,0.17,6312888.42,0.1001,0.0034,0.57,323.54,2.41,5.06,598935.32
1951,8,A,0.13,9015715.42,0.1017,0.004,1.08,422.66,5.38,7.05,159236.69
1951,8,B,0.21,2122001.29,0.1302,0.0777,1.58,1898.49,0.85,1.46,266773.23
1951,8,C,0.27,11398143.48,0.1421,0.0024,0.881,770.75,1.89,11.01,209533.65
1951,8,D,0.18,6504850.22,0.1494,0.0029,0.58,475.02,2.15,3.46,597619.34
1951,9,A,0.17,10903070.26,0.1316,0.0023,1.09,509.05,5.57,7.55,169203.95
1951,9,B,0.22,1452855.43,0.1695,0.0719,1.59,1230.08,0.8,1.27,236338.81
1951,9,C,0.29,13514213.5,0.1521,0.0015,0.891,942.59,2.3,8.31,219614.73
1951,9,D,0.19,7468219.68,0.2065,0.0037,0.59,361.16,2.41,2.35,841172.3
1951,10,A,0.18,9190441.11,0.1553,0.0018,1.1,465.29,4.16,7.99,160652.27
1951,10,B,0.23,1639698.24,0.2263,0.1002,1.6,1469.46,0.69,0.94,348977.14
1951,10,C,0.3,13769298.26,0.1621,0.0014,0.914,1077.4,2.52,9.29,327065.9
1951,10,D,0.2,9240916.11,0.2722,0.0026,0.625,283.8,2.98,2.63,579440.88
1951,11,A,0.19,5313346.12,0.1653,0.0012,1.11,546.42,2.31,7.89,131748.83
1951,11,B,0.24,1912979.19,0.3353,0.1288,1.61,801.48,0.76,0.76,262378.07
1951,11,C,0.31,7933755.04,0.1721,0.0014,0.924,1441.89,2.99,9.49,294728.84
1951,11,D,0.22,13769569.25,0.2822,0.0016,0.635,330.7,3.76,2.66,863121.81
1951,12,A,0.2,7271806.41,0.1753,0.0011,1.14,320.45,1.18,9.63,178309.01
1951,12,B,0.25,2082912.95,0.3453,0.158,1.67,626.16,0.66,0.94,154139.35
1951,12,C,0.36,9848200.98,0.1821,0.0013,0.934,1299.65,1.87,8.17,334080.43
1951,12,D,0.29,13316236.82,0.3781,0.001,0.645,319.42,3.52,1.6,715832.9
1952,1,A,0.06,15329745.27,0.0189,0.007,1.01,1022.59,6.33,8.69,156714.62
1952,1,B,0.11,1890206.79,0.022,0.0377,1.51,1147.57,3.95,9.23,179666.52
1952,1,C,0.16,8485798.64,0.0202,0.0215,0.81,1555.97,5.45,13.21,370090.62
1952,1,D,0.11,2347771.85,0.0298,0.0089,0.51,972.9,7.16,13.81,217394.14
1952,2,A,0.07,17976077.24,0.0289,0.0096,1.02,709.11,4.05,6.47,194540.41
1952,2,B,0.12,955966.35,0.032,0.0209,1.52,1436.68,4.11,5.91,90152.98
1952,2,C,0.17,5610823.33,0.0302,0.019,0.82,1633.8,3.23,10.41,285953.54
1952,2,D,0.12,2140545.18,0.0398,0.0106,0.52,1270.13,3.65,7.44,217576.6
1952,3,A,0.08,12667900.23,0.0389,0.0078,1.03,385.6,3.67,5.84,149689.02
1952,3,B,0.13,1038359.25,0.042,0.0272,1.53,950.57,3.85,4.82,115591.43
